"chapter","ayah","wordpos","utf8","feature","FA","QA","SW"
"29","1","0-0","الٓمٓ","pos","NOUN","INL","p--b--"
"29","1","2",".","pos","END","END","END"
"29","10","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","10","0-1","مِنَ","pos","PART","P","p--p--"
"29","10","1-0","ٱل","pos","DET","DET","r---d-"
"29","10","1-1","نَّاسِ","pos","NOUN","N","n#----"
"29","10","2-0","مَن","pos","PREP","REL","nr----"
"29","10","3-0","يَقُولُ","pos","V","V","r---a-"
"29","10","3-1",,"pos","-","œ","v-c---"
"29","10","4-0","ءَامَ","pos","NOUN","V","v-p---"
"29","10","4-1","نَّا","pos","CASE","PRON","r---r-"
"29","10","5-0","بِ","pos","PREP","P","p--p--"
"29","10","5-1","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","10","6-0","فَ","pos","CONJ","REM","p--c--"
"29","10","6-1","إِذَآ","pos","PART","T","nv----"
"29","10","7-0","أُوذِىَ","pos","V","V","v-p---"
"29","10","8-0","فِى","pos","PREP","P","p--p--"
"29","10","9-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","10","10-0","جَعَلَ","pos","NOUN","V","v-p---"
"29","10","11-0","فِتْنَةَ","pos","NOUN","N","ns----"
"29","10","11-1",,"pos","NSUFF","œ","r---t-"
"29","10","12-0","ٱل","pos","DET","DET","r---d-"
"29","10","12-1","نَّاسِ","pos","NOUN","N","n#----"
"29","10","13-0","كَ","pos","PREP","P","p--l--"
"29","10","13-1","عَذَابِ","pos","NOUN","N","ng----"
"29","10","14-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","10","15-0","وَ","pos","CONJ","CONJ","p--c--"
"29","10","15-1","لَ","pos","NOUN","EMPH","p--z--"
"29","10","15-2","ئِن","pos","-","COND","p--k--"
"29","10","16-0","جَآءَ","pos","V","V","v-p---"
"29","10","17-0","نَصْرٌ","pos","NOUN","N","ng----"
"29","10","18-0","مِّن","pos","PREP","P","p--p--"
"29","10","19-0","رَّبِّ","pos","NOUN","N","nq----"
"29","10","19-1","كَ","pos","-","PRON","r---r-"
"29","10","20-0","لَ","pos","PREP","EMPH","p--z--"
"29","10","20-1","يَقُولُ","pos","NOUN","V","r---a-"
"29","10","20-2","نَّ","pos","-","EMPH","v-c---"
"29","10","20-3",,"pos","-","œ","r---z-"
"29","10","21-0","إِنَّ","pos","PART","ACC","p--a--"
"29","10","21-1","ا","pos","PRON","PRON","r---r-"
"29","10","22-0","كُ","pos","V","V","v-p---"
"29","10","22-1","نَّا","pos","-","PRON","r---r-"
"29","10","23-0","مَعَ","pos","NOUN","LOC","nv----"
"29","10","23-1","كُمْ","pos","PRON","PRON","r---r-"
"29","10","24-0","أَ","pos","NOUN","INTG","p--i--"
"29","10","24-1","وَ","pos","-","SUP","p--c--"
